w,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,8,10,7,7,8,6,8,8,9,16,17,15,13,13,12,15,15,15,23,24,22,20,18,18,21,21,23
2,8,10,8,6,6,5,6,8,7,16,16,16,11,11,10,12,14,14,23,23,22,16,16,15,17,19,19
3,8,10,8,6,6,5,6,8,6,16,16,16,11,11,10,12,13,12,23,23,22,16,15,15,17,18,17
4,8,9,7,6,6,5,7,8,7,15,16,15,11,11,10,12,14,13,23,23,22,16,15,15,17,19,18
5,6,8,6,6,6,5,7,8,7,13,14,14,11,11,11,12,14,13,19,21,20,16,16,15,17,19,19
6,6,8,7,6,6,6,7,8,7,13,15,14,11,11,11,12,15,14,20,22,20,16,16,15,18,19,19
7,6,9,7,6,6,6,7,8,7,13,15,14,12,11,11,12,13,14,20,22,20,17,16,15,18,19,19
8,6,9,7,6,6,6,7,7,7,14,16,15,11,12,11,12,13,13,22,23,22,17,17,17,17,18,18
9,6,10,7,6,6,6,6,7,6,14,16,15,11,12,11,12,13,13,22,23,22,16,16,15,17,19,18
10,6,10,8,6,6,6,6,7,6,14,16,16,11,11,11,12,13,12,22,23,22,16,16,15,17,18,17
11,7,10,8,6,6,6,6,7,6,14,16,16,11,11,11,12,13,12,22,23,22,16,16,15,17,18,17
12,7,10,8,6,6,6,6,7,6,15,17,16,11,11,11,12,13,12,22,23,22,16,16,15,17,18,17
13,8,10,8,6,7,6,6,7,6,15,17,16,11,11,11,12,13,12,23,24,22,16,16,16,17,18,17
14,8,10,8,6,7,6,6,7,6,15,17,16,11,11,11,11,13,12,23,24,23,16,16,16,17,18,17
15,8,10,8,6,7,6,6,7,6,15,17,16,11,11,11,11,12,11,23,24,23,16,16,16,17,17,17
16,8,10,8,6,7,6,6,7,6,15,17,16,11,12,11,11,12,11,23,24,23,16,16,16,17,17,17
17,8,10,8,6,7,6,6,7,6,16,17,16,11,12,12,11,12,12,23,24,23,17,16,16,17,17,17
18,8,10,8,6,7,6,6,7,6,15,17,16,11,12,12,11,13,12,23,24,23,17,16,17,17,17,17
19,8,10,8,6,7,6,6,7,6,15,17,16,12,12,12,11,13,12,23,24,22,17,16,17,17,17,17
20,8,10,8,6,7,6,6,7,6,15,17,16,12,12,12,12,13,12,23,24,22,17,17,17,17,18,17
21,8,10,8,6,7,6,6,7,6,15,17,16,11,12,12,12,13,12,23,24,23,17,17,16,17,18,17
22,8,10,8,6,7,6,6,7,6,15,17,16,11,12,12,11,13,12,23,24,23,17,16,16,17,17,17
23,8,10,8,6,7,6,6,7,6,15,17,16,11,12,12,11,12,12,23,24,23,17,16,17,17,17,17
24,8,10,8,6,7,6,6,7,6,16,17,16,11,12,12,11,12,12,23,24,23,17,17,17,16,17,17
25,8,10,8,6,7,6,6,7,6,16,17,17,12,12,12,11,12,12,23,24,23,17,17,17,17,17,17
26,8,10,8,6,7,6,6,7,6,16,17,17,12,12,12,11,12,12,23,24,23,17,17,17,17,17,17
27,8,10,8,6,7,6,6,7,6,16,17,17,12,12,12,11,12,12,23,24,23,17,17,17,17,17,17
28,8,10,8,6,7,6,6,7,6,16,17,17,12,12,12,11,12,12,23,24,23,17,17,17,17,17,17
29,8,10,8,6,7,6,6,7,6,16,17,17,12,12,12,11,12,12,24,24,23,17,17,17,17,17,17
30,9,10,8,6,7,6,6,7,6,17,17,17,12,12,12,11,12,12,24,25,23,17,17,17,17,17,17
31,9,10,8,6,7,6,6,7,6,17,17,17,12,12,12,11,12,12,24,25,23,17,17,17,17,17,17
32,9,11,8,6,7,6,6,7,6,17,17,17,12,12,12,12,12,12,25,25,23,17,17,17,17,17,17
33,9,11,8,5,7,6,6,7,6,17,17,17,11,12,12,12,12,12,25,25,23,17,17,17,17,17,17
34,9,11,9,6,7,6,6,7,6,17,17,17,11,12,12,12,12,12,25,25,23,17,17,17,17,17,17
35,9,11,9,6,7,6,6,7,6,17,18,17,11,12,12,12,12,12,25,25,24,17,17,17,17,17,17
36,9,11,9,6,7,6,6,7,6,17,18,17,11,12,12,12,13,12,25,25,24,17,17,17,17,17,17
37,9,11,9,6,7,6,6,7,6,17,18,17,11,12,12,12,12,12,25,25,24,17,17,17,17,17,17
38,9,11,9,5,7,6,6,7,6,17,18,17,11,12,12,12,12,12,25,25,24,17,17,17,17,18,17
39,9,11,9,6,7,6,6,7,6,17,18,17,12,12,12,12,12,12,26,26,24,17,17,17,17,18,17
40,9,11,9,5,7,6,6,7,6,17,18,18,12,12,12,12,13,12,26,26,24,17,17,17,17,18,17
41,9,11,9,6,7,6,6,7,6,18,18,18,12,12,12,12,12,12,26,26,24,17,17,17,18,18,17
42,9,11,9,6,7,6,6,7,6,18,18,18,12,12,12,12,13,12,26,26,25,17,17,17,18,18,18
43,9,11,9,5,7,6,6,7,6,18,18,18,12,12,12,12,13,12,26,26,25,17,17,17,18,18,18
44,9,11,9,6,7,6,6,7,6,18,18,18,12,12,12,12,12,12,26,26,25,17,17,17,18,18,18
45,9,11,9,5,7,6,6,7,6,18,18,19,12,12,12,12,12,12,26,26,25,17,17,17,18,18,17
